flexeme_id,inflection_class,lila_id_lemma,lila_id_ipolemma,hasInflectionType
a0406,59,87263,,v3r
a0406_2,59,87263,,v3r
a0406_3,64,87263,,v3r
a0406_4,64,87263,,v3r
a0407,65,87264,,v3r
a0407_2,65,87264,,v3r
a0407_3,64,87264,,v3r
a0407_4,64,87264,,v3r
a0445,1,87306,,v1r
a0463,1,87326,,v1r
a0464,39,87327,,v3r
a0471,63,87336,,v3r
a0471_2,66,87336,,v3r
a0483,1,87348,,v1r
a0485,1,87350,,v1r
a0486,0,87351,,v1r
a0487,1,87352,,v1r
a0491,3,87356,,v3r
a0492,1,87357,,v1r
a0498,0,87363,,v1r
a0500,1,87365,,v1r
a0501,1,87366,,v1r
a0502,67,87367,,v4r
a0505,1,87370,,v1r
a0506,1,87372,,v1r
a0508,11,87374,,v3r
a0509,1,87375,,v1r
a0511,37,87377,,v4r
a0512,68,87378,,v2r
a0513,3,87379,,v3r
a0516,19,87382,,v3r
a0516_2,19,87382,,v3r
a0517,3,87383,,v3r
a0518,69,87384,,v4d
a0519,0,87385,,v1r
a0519_2,0,87385,,v1r
a0521,0,87387,,v2e
a0522,0,87388,,v1r
a0525,0,87391,,v2r
a0526,0,87392,,v1r
a0527,4,87393,,v3r
a0530,70,87396,,v3r
a0535,5,87401,,v3r
a0536,10,87402,,v2r
a0537,37,87404,,v4r
a0537_sc,3,87403,,v3r
a0541,1,87409,,v1r
a0542,4,87410,,v3r
a0545,1,87413,,v1r
a0546,34,87414,,v6r
a0553,7,87421,,v6r
a0553_2,8,87421,,v6r
a0553_3,9,87421,,v6r
a0556,1,87424,,v1r
a0557,0,87425,,v1r
a0559,1,87427,,v1r
a0560,17,87428,,v4r
a0560_2,18,87428,,v4r
a0560_3,17,87428,,v4r
a0560_4,18,87428,,v4r
a0561,71,87429,,v2r
a0564,1,87432,,v1r
a0565,26,87433,,v2r
a0567,17,87435,,v4r
a0567_2,18,87435,,v4r
a0573,72,87441,,v1d
a0574,1,87442,,v1r
a0577,10,87445,,v2r
a0585,15,87453,,v3r
a0586,13,87454,,v5r
a0586_2,56,87454,,v5r
a0588,73,87456,,v3r
a0589,74,87457,,v2r
a0592,3,87460,,v3r
a0593,3,87461,,v3r
a0594,0,87462,,v1r
a0595,3,87463,,v3r
a0596,75,87464,,v5d
a0597,3,87465,,v3r
a0598,0,87466,,v1r
a0599,3,87467,,v3r
a0600,76,87468,,v4r
a0603,1,87471,,v1r
a0607,77,87476,,v3d
a0614,1,87484,,v1r
a0615,0,87485,,v1r
a0617,1,87487,,v1r
a0617_2,1,87487,,v1r
a0618,1,87488,,v1r
a0623,16,87493,,v3r
a0628,1,87498,,v1r
a0630,1,87501,,v1r
a0630_2,1,87501,,v1r
a0630_3,1,87501,,v1r
a0639,78,87510,,v1r
a0639_2,79,87510,,v1r
a0639_3,80,87510,,v1r
a0640,81,87511,,v2e
a0641,0,87512,,v1r
