pattern_id,pattern_alternation,cell_left,cell_right
619,ttet ⇌ ssurum / [-spread -lat]*mi_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
620,dēbit ⇌ surum / [-spread -labdent]*[a-e-i-o-r-u-y-ā-ē-ī-ō-ū][a-e-i-m-n-o-r-u-y-ā-ē-ī-ō-ū]_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
621,uēbi_ ⇌ _urum / [-spread -lat -labdent]*[b-f-m-o-p-q-u-y-ō-ū]o_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
622,tet ⇌ surum / [-spread]*[-spread -nas -lat -labdent -low]_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
623,isce_ ⇌ _urum / [a-e-i-n-r-ā-ē-ī]*[b-d-p-t][-long][b-c-d-g-l-p-q-r-s-t-z]_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
624,ue_ ⇌ c_urum / [c-g-o-q-ō]*[a-d-e-n-r-z-ā-ē]*[f-o-u-y-ō-ū]i_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
625,re_ ⇌ s_urum / [-spread -lat -labdent]*[e-i-o-u]_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
626,fere_ ⇌ la_urum / [-spread -lat -labdent]*_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
627,get ⇌ csurum / [-spread -lat]*[f-r-s-z]i_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
628,nge_ ⇌ c_urum / [-spread -lat]*[b-d-f-m-n-p-r-s-t-z][a-e-i]_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
629,inge_ ⇌ ac_urum / [-spread -lat -labdent]*[-spread -lat][b-d-f-m-n-p-s-t-z][b-d-p-r-s-t-z]_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
630,ābi_ ⇌ _urum / [-spread -lat]*[d-e-l-n-r-s-t-z-ē][a-c-e-g-i-ā-ē-ī][-spread -nas -lat -labdent -low]_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
631,ndet ⇌ surum / [-spread -lat]*[b-d-f-p-r-s-t-z][e-i-o-u]_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
632,diet ⇌ ssurum / [-spread -lat]*[f-r-s-z][e-o]_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
633,ne_ ⇌ _urum / [-spread -labdent]*[b-d-e-l-m-n-p-r-s-t-z-ē][b-d-e-i-m-n-p-r-s-t-y-z-ē-ī]_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
634,o_ēbi_ ⇌ u__urum / ad_l_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
635,er_cet ⇌ _urum / [-spread -lat -labdent]*ha_es_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
636,esce_ ⇌ i_urum / [-spread -labdent]*[-spread -low][a-e-i-l-o-r-u-y-ā-ē-ī-ō-ū][-spread -labdent -low]_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
637,ne_ ⇌ si_urum / [-spread -lat -labdent]*po_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
638,de_cet ⇌ _urum / [-spread -nas -lat -labdent -low]*a[e-r-ē]_s_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
639,get ⇌ surum / [-spread -lat -labdent]*[b-d-m-n-p-t][a-e]r_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
640,el_et ⇌ u_surum / [-spread -lat -labdent]*[-spread -nas -lat -labdent -low]_l_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
641,āb_ ⇌ _urum / [-spread -lat -labdent]*[-spread][e-i-o-r-s-u-y-z-ē-ī-ō-ū][b-c-d-g-l-m-n-p-q-r-s-t-z]_it_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
642,im_t ⇌ _ssurum / [-spread -lat -labdent -low]*[-spread -nas -lat -labdent][b-d-e-m-n-p-r-s-t-z-ē]pr_e_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
643,ig__ ⇌ _c_urum / [-spread -lat -labdent]*[-spread -labdent -low][d-l-r-s-t-z]_e_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
644,be_ ⇌ p_urum / [-spread -lat -labdent]*[e-l-m-n-o-r-ē-ō][e-i-o-r-u-y-ē-ī-ō-ū]_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
645,tiet ⇌ surum / [-spread -lat -labdent]*sen_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
646,ere_ ⇌ i_urum / [c-d-e-g-i-n-r-s-t-z-ē-ī]*[a-b-d-e-g-i-o-r-u-y-z-ā-ē-ī-ō-ū][b-d-e-m-n-p-r-s-t-z-ē]s_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
647,idēbit ⇌ essurum / [-spread -nas -lat -labdent -low]*[-spread -nas -lat -labdent][b-d-e-m-n-o-p-r-s-t-z-ē-ō]s_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
648,id_t ⇌ _ssurum / [-spread -nas -lat -labdent -low]*[a-e-i-o-r-u-y-ā-ē-ī-ō-ū][b-d-e-m-n-p-r-s-t-z-ē]s_e_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
649,g__ ⇌ r_c_urum / [-spread -lat -labdent]*[p-s-t][e-i-o-u]r_e_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
650,e_ne_ ⇌ _a_urum / [-spread -lat -labdent]*st_r_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
651,e_ ⇌ c_urum / [-spread -lat]*[f-p-s-t][l-r]u_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
652,de_ ⇌ _urum / [-spread -lat -labdent]*ten_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
653,e_e_ ⇌ _i_urum / [-spread -lat -labdent]*t_r_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
654,gue_ ⇌ c_urum / [-spread -labdent]*[i-u]n_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
655,__fe_et ⇌ abl_t__um / [-spread -lat -labdent -low]*_a_u_r_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
656,ēbi_ ⇌ _urum / [-spread]*[-spread -nas -labdent][-spread -labdent -low]_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
657,e_n_ ⇌ __urum / [-spread -lat -labdent -low]*[c-p-q]_r_et_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
658,cie_ ⇌ _urum / [-spread -lat]*[f-s][-long][l-r]_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
659,et ⇌ csurum / [-spread -lat -labdent -low]*flu_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
660,dēbit ⇌ ssurum / [-spread -lat -labdent -low]*se_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
661,ge_ ⇌ ac_urum / co_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
662,i_isce_ ⇌ e__urum / [c-p-q]?[e-i-o-r-u-y-ē-ī-ō-ū][e-m-n-o-ē-ō][b-d-f-m-n-p-s-t-z]_[b-c-d-g-m-n-p-q-t]_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
663,cēbit ⇌ surum / [-spread -lat -labdent]*mul_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
664,ce_ ⇌ _urum / [-spread -lat -labdent -low]*[b-m-p][a-e-i]s_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
665,i_e_ ⇌ e__urum / i?[b-c-d-g-m-n-p-q-r-s-t-z]*[-spread -nas -lat -labdent][b-d-e-m-n-r-z-ē][c-d-g-l-r-s-t-z]_[b-d-e-i-m-n-p-r-s-t-y-z-ē-ī]+_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
666,que_ ⇌ c_urum / [-spread -lat -labdent]*[c-d-g-l-r-s-t-z][e-i-o-u]_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
667,tiet ⇌ ssurum / [-spread -lat -labdent]*[-spread -nas -lat -labdent -low][a-o-u]_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
668,nfere_ ⇌ lla_urum / [-spread -nas -lat -labdent -low]*[e-i-o-u]_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
669,ere_ ⇌ a_urum / [-spread -lat -labdent -low]*s_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
670,quēbi_ ⇌ _urum / [-spread -lat -labdent]*tor_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
671,n_e_ ⇌ __urum / [-spread -lat -labdent -low]*[-spread -nas -lat -labdent -low][a-e-i-n-r-ā-ē-ī]_[-spread -labdent -low]+_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
672,et ⇌ urum / [-spread -lat -labdent -low]*[-spread -nas -lat -labdent -low][e-i-n-r-ē-ī]s_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
673,rie_ ⇌ s_urum / [c-e-g-ē]*[b-d-e-p-r-s-t-z-ē]*hau_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
674,nque_ ⇌ c_urum / [d-e-l-r-z-ē]*li_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
675,tet ⇌ ssurum / [b-d-e-m-n-z-ē]*[e-i-o-u]_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
676,i_ie_ ⇌ u__urum / [d-e-s-t-z-ē]?[-spread -nas -lat -labdent -low][b-d-e-m-n-p-r-s-t-z-ē][r-s-z]_[b-d-l-p-r-s-t-z]_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
677,n_ ⇌ _urum / desper_et_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
678,ffere_ ⇌ la_urum / d?[e-i]_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
679,ēbit ⇌ surum / [b-d-e-p-r-s-t-z-ē]*man_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
680,gisc__ ⇌ r_c_urum / ecsper_e_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
681,si_e_ ⇌ _a_urum / [c-d-e-g-s-t-z-ē]*_st_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
682,rrēbi_ ⇌ s_urum / [c-e-g-ē]*[e-r-s-z-ē]*to_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
683,l_et ⇌ _surum / [f-s]a_l_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
684,es_et ⇌ _surum / [e-i-n-r-ē-ī]*flu_c_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
685,dēb_t ⇌ _surum / gau_i_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
686,gi_n__ ⇌ __ni_urum / [-spread -lat -labdent -low]*_g_e_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
687,idet ⇌ asurum / [e-i-o-r-u-y-ē-ī-ō-ū][c-d-e-g-n-s-t-z-ē]c_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
688,ciet ⇌ surum / [e-i-n-r-ē-ī]*[f-r-s-z][a-e][e-i-o-r-u-y-ē-ī-ō-ū]_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
689,q_e_ ⇌ c__urum / [l-r-s-z][e-o]_u_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
690,esce_ ⇌ fu_urum / [-spread -nas -lat -labdent -low]*_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
691,diet ⇌ surum / o?[e-o-r-ē-ō]_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
692,ges_e_ ⇌ __urum / perfri_c_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
693,_et ⇌ ssuru_ / [b-d-e-p-r-s-t-z-ē]*pre_m_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
694,ti_cet ⇌ _urum / [b-d-e-p-r-s-t-z-ē]*sen_s_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
695,de_it ⇌ futu_um / pro_r_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
696,ce_cet ⇌ _urum / rau_s_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
697,rre_ce_ ⇌ __urum / [e-r-ē]*to_s_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
698,ēbi_ ⇌ a_urum / r_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
699,e_ie_ ⇌ u__urum / sep_l_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
700,et ⇌ rum / statu_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
701,get ⇌ csiurum / suffi_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
702,adi_t ⇌ _ssurum / supergr_e_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
703,tol_e_ ⇌ sub_a_urum / _l_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
704,cisce_ ⇌ _urum / ul_t_,fut.act.ind.3.sg,fut.act.ptcp.nom.n.sg
705,ēb ⇌ s / adman_it,fut.act.ind.3.sg,prf.act.ind.3.sg
706,sce ⇌ ui / aduespera_t,fut.act.ind.3.sg,prf.act.ind.3.sg
707,esce ⇌ ui / [c-g-o-q-ō]*[d-l-n-r-s-t-z][a-e-l-r-ā-ē][e-i][b-d]_t,fut.act.ind.3.sg,prf.act.ind.3.sg
708,ēb ⇌ u / [-spread -labdent -low]*[a-b-d-e-l-o-p-r-s-t-z-ā-ē-ō][e-i-o-r-u-y-ē-ī-ō-ū][b-c-d-g-p-q-t]_it,fut.act.ind.3.sg,prf.act.ind.3.sg
709,e ⇌ i / niu_t,fut.act.ind.3.sg,prf.act.ind.3.sg
710,bē ⇌  / perl[i-u]_bit,fut.act.ind.3.sg,prf.act.ind.3.sg
711,refe_ ⇌ _tuli / _re_t,fut.act.ind.3.sg,prf.act.ind.3.sg
712,_ī ⇌ bitu_ / X*[-low][ā-ē-ī]_r_,prs.pass.inf,fut.pass.ind.3.sg
713,ī_ī ⇌ iētu_ / X*[a-e-m-n-o-r-ā-ē-ō][c-d-g-l-r-s-t-z]_r_,prs.pass.inf,fut.pass.ind.3.sg
714,ī ⇌ ētur / [-spread]*[-spread -lat -labdent][-nas -lat -labdent -low]_,prs.pass.inf,fut.pass.ind.3.sg
715,ī ⇌ iētur / [-spread -lat -labdent]*[b-d-h-m-n-p-r-s-t-z-th-ph][a-e-o][d-r-s-t-z]_,prs.pass.inf,fut.pass.ind.3.sg
716,_ī_ī ⇌ bē_itu_ / o_b_r_,prs.pass.inf,fut.pass.ind.3.sg
717,ār ⇌ au / [-spread -nas -lat -labdent -low]*[-nas -labdent -low][e-i-m-n-o-r-u-y-ē-ī-ō-ū][-spread -labdent -low][b-d-l-p-r-s-t-z-th-ph]_ī,prs.pass.inf,prf.act.ind.1.sg
718,īr ⇌ iu / ob_ī,prs.pass.inf,prf.act.ind.1.sg
719,īr ⇌ i / ob_ī,prs.pass.inf,prf.act.ind.1.sg
720,rī_ī ⇌ _tum / [-spread -nas -lat -labdent]*[e-o]_r_,prs.pass.inf,prf.pass.ptcp.nom.n.sg
721,tī ⇌ sum / [-spread -lat -labdent]*[e-i-o-u]_,prs.pass.inf,prf.pass.ptcp.nom.n.sg
722,ārī ⇌ atum / X*[-low]_,prs.pass.inf,prf.pass.ptcp.nom.n.sg
723,i_iscī ⇌ e_tum / [a-e]?[b-d-m-n]_[b-d-m-n-p-t]_,prs.pass.inf,prf.pass.ptcp.nom.n.sg
724,tīrī ⇌ nsum / [-spread -nas -lat -labdent]*[b-d-e-i-m-n-r-y-z-ē-ī]me_,prs.pass.inf,prf.pass.ptcp.nom.n.sg
725,īrī ⇌ itum / [-spread -labdent]*[e-m-n-o-r-ē-ō][b-c-d-g-l-p-q-r-s-t-z]_,prs.pass.inf,prf.pass.ptcp.nom.n.sg
726,scī ⇌ tum / [-spread]*[e-i-l-m-n-o-r-u-y-ē-ī-ō-ū][a-e-i]_,prs.pass.inf,prf.pass.ptcp.nom.n.sg
727,bī ⇌ psum / [-spread -labdent]*la_,prs.pass.inf,prf.pass.ptcp.nom.n.sg
728,q_ī ⇌ c_tum / [-spread -labdent]*[l-r-s-z][e-o]_u_,prs.pass.inf,prf.pass.ptcp.nom.n.sg
729,iscī ⇌ tum / [-spread -lat -labdent]*[a-e-n-ā-ē][b-c-d-g-m-n-p-q-r-s-t-z]_,prs.pass.inf,prf.pass.ptcp.nom.n.sg
730,dī ⇌ ssum / [-spread -lat -labdent]*[-spread -lat -labdent -low]gre_,prs.pass.inf,prf.pass.ptcp.nom.n.sg
731,hī ⇌ ctum / [c-d-e-g-i-r-s-t-z-ē-ī]*[e-i-o-r-s-u-y-z-ē-ī-ō-ū][e-m-n-ē]ue_,prs.pass.inf,prf.pass.ptcp.nom.n.sg
732,ērī ⇌ itum / [-spread -lat -labdent -low]*[d-e-s-t-z-ē][e-i-o-r-u-y-ē-ī-ō-ū]_,prs.pass.inf,prf.pass.ptcp.nom.n.sg
733,ī ⇌ tuum / [-spread -lat -labdent]*[e-m-n-r-ē]mor_,prs.pass.inf,prf.pass.ptcp.nom.n.sg
734,tī ⇌ ssum / [-spread -lat -labdent]*[-long]_,prs.pass.inf,prf.pass.ptcp.nom.n.sg
735,itērī ⇌ essum / [c-p-q]?[b-d-e-o-r-z-ē-ō][e-m-n-o-ē-ō]f_,prs.pass.inf,prf.pass.ptcp.nom.n.sg
736,rī ⇌ stum / [-spread -lat -labdent]*que_,prs.pass.inf,prf.pass.ptcp.nom.n.sg
737,ī ⇌ tum / [b-c-d-e-g-m-n-o-p-q-s-t-y-z-ē-ō]*[b-c-d-e-g-o-p-q-s-t-y-z-ē-ō][e-i-o-r-u-y-ē-ī-ō-ū]_,prs.pass.inf,prf.pass.ptcp.nom.n.sg
738,ī ⇌ itum / [-spread -lat -low]*[d-r-s-t-z]u_,prs.pass.inf,prf.pass.ptcp.nom.n.sg
739,gī ⇌ ctum / [p-s-t]?[b-d-e-g-i-o-r-u-y-z-ē-ī-ō-ū][b-d-e-r-z-ē][f-r-s-z][i-u]n_,prs.pass.inf,prf.pass.ptcp.nom.n.sg
740,tārī ⇌ sum / deplec_,prs.pass.inf,prf.pass.ptcp.nom.n.sg
741,dī ⇌ tum / egre_,prs.pass.inf,prf.pass.ptcp.nom.n.sg
742,rdī_ī ⇌ _sum / [e-r-ē][c-e-g-ē][d-s-t-z]o_r_,prs.pass.inf,prf.pass.ptcp.nom.n.sg
743,tīrī ⇌ ssum / fa_,prs.pass.inf,prf.pass.ptcp.nom.n.sg
744,ī ⇌ ctum / [b-d-e-p-r-s-t-z-ē]*fru_,prs.pass.inf,prf.pass.ptcp.nom.n.sg
745,adī ⇌ essum / [-spread -lat -labdent]*gr_,prs.pass.inf,prf.pass.ptcp.nom.n.sg
746,ciscī ⇌ tum / inul_,prs.pass.inf,prf.pass.ptcp.nom.n.sg
747,ērī ⇌ tum / tu_,prs.pass.inf,prf.pass.ptcp.nom.n.sg
748,ī_ī ⇌ tu_um / [a-b-c-d-e-g-o-p-q-s-t-y-z-ā-ē-ō]*[e-o]r_r_,prs.pass.inf,fut.act.ptcp.nom.n.sg
749,tī ⇌ surum / [-spread -lat -labdent]*[i-u]_,prs.pass.inf,fut.act.ptcp.nom.n.sg
750,ā_ī ⇌ atu_um / X*[-low]_r_,prs.pass.inf,fut.act.ptcp.nom.n.sg
751,i_iscī ⇌ e_turum / [a-e][b-d-m-n]_[b-d-m-n-p-t]_,prs.pass.inf,fut.act.ptcp.nom.n.sg
752,tī_ī ⇌ nsu_um / [-spread -nas -lat -labdent]*[b-d-e-i-m-n-r-y-z-ē-ī]me_r_,prs.pass.inf,fut.act.ptcp.nom.n.sg
753,ī_ī ⇌ itu_um / [-spread -labdent]*[e-m-n-o-r-ē-ō][b-c-d-g-l-p-q-r-s-t-z]_r_,prs.pass.inf,fut.act.ptcp.nom.n.sg
754,scī ⇌ turum / [-spread -lat]*[l-n-r][a-e-i]_,prs.pass.inf,fut.act.ptcp.nom.n.sg
755,bī ⇌ psurum / [-spread -labdent]*la_,prs.pass.inf,fut.act.ptcp.nom.n.sg
756,q_ī ⇌ c_turum / [-spread -labdent]*[l-r-s-z][e-o]_u_,prs.pass.inf,fut.act.ptcp.nom.n.sg
757,iscī ⇌ turum / [-spread -lat -labdent]*[a-e-n-ā-ē][b-c-d-g-p-q-r-s-t-z]_,prs.pass.inf,fut.act.ptcp.nom.n.sg
758,dī ⇌ ssurum / [-spread -lat -labdent]*[-spread -lat -labdent -low]gre_,prs.pass.inf,fut.act.ptcp.nom.n.sg
759,hī ⇌ cturum / [c-d-e-g-i-r-s-t-z-ē-ī]*[e-i-o-r-s-u-y-z-ē-ī-ō-ū][e-m-n-ē]ue_,prs.pass.inf,fut.act.ptcp.nom.n.sg
760,ē_ī ⇌ itu_um / [-spread -lat -labdent -low]*[d-e-s-t-z-ē][e-i-o-r-u-y-ē-ī-ō-ū]_r_,prs.pass.inf,fut.act.ptcp.nom.n.sg
761,ī ⇌ turum / [b-c-d-e-g-m-n-o-p-q-s-t-y-z-ē-ō]*[b-c-d-e-g-o-p-q-s-t-y-z-ē-ō][e-i-o-r-u-y-ē-ī-ō-ū]_,prs.pass.inf,fut.act.ptcp.nom.n.sg
762,tī ⇌ ssurum / [-spread -lat -labdent]*[-long]_,prs.pass.inf,fut.act.ptcp.nom.n.sg
763,itē_ī ⇌ essu_um / [c-p-q]?[b-d-e-o-r-z-ē-ō][e-m-n-o-ē-ō]f_r_,prs.pass.inf,fut.act.ptcp.nom.n.sg
764,_ī ⇌ stu_um / [-spread -lat -labdent]*que_r_,prs.pass.inf,fut.act.ptcp.nom.n.sg
765,ī ⇌ iturum / [-spread -lat]*[b-d-e-o-p-r-s-t-z-ē-ō][-spread -nas -lat -labdent -low]_,prs.pass.inf,fut.act.ptcp.nom.n.sg
766,gī ⇌ cturum / [p-s-t]?[b-d-e-g-i-o-r-u-y-z-ē-ī-ō-ū][b-d-e-r-z-ē][f-r-s-z][i-u]n_,prs.pass.inf,fut.act.ptcp.nom.n.sg
767,tā_ī ⇌ su_um / deplec_r_,prs.pass.inf,fut.act.ptcp.nom.n.sg
768,dī_ī ⇌ su_um / [e-r-ē][c-e-g-ē][d-s-t-z]or_r_,prs.pass.inf,fut.act.ptcp.nom.n.sg
769,tī_ī ⇌ ssu_um / fa_r_,prs.pass.inf,fut.act.ptcp.nom.n.sg
770,ī ⇌ cturum / [b-d-e-p-r-s-t-z-ē]*fru_,prs.pass.inf,fut.act.ptcp.nom.n.sg
771,adī ⇌ essurum / [-spread -lat -labdent]*gr_,prs.pass.inf,fut.act.ptcp.nom.n.sg
772,ē_ī ⇌ tu_um / tu_r_,prs.pass.inf,fut.act.ptcp.nom.n.sg
773,ābit_r ⇌ a_ī / [-spread -nas -lat -labdent -low]*[-nas -labdent -low][e-i-m-n-o-r-u-y-ē-ī-ō-ū][-spread -labdent -low][b-d-l-p-r-s-t-z-th-ph]_u_,fut.pass.ind.3.sg,prf.act.ind.1.sg
774,iē_r ⇌ _m / [-spread -lat -labdent]*[e-o]r_tu_,fut.pass.ind.3.sg,prf.pass.ptcp.nom.n.sg
775,tēt_r ⇌ s_m / [-spread -lat -labdent]*[e-i-o-u]_u_,fut.pass.ind.3.sg,prf.pass.ptcp.nom.n.sg
776,ābi_r ⇌ a_m / X*[-low]+_tu_,fut.pass.ind.3.sg,prf.pass.ptcp.nom.n.sg
777,i_iscē_r ⇌ e__m / [a-e]?[b-d-m-n]_[b-d-m-n-p-t]_tu_,fut.pass.ind.3.sg,prf.pass.ptcp.nom.n.sg
778,tiēt_r ⇌ ns_m / [-spread -nas -lat -labdent]*[b-d-e-i-m-n-r-y-z-ē-ī]me_u_,fut.pass.ind.3.sg,prf.pass.ptcp.nom.n.sg
779,ē_r ⇌ _m / [-spread -labdent]*[b-c-d-g-l-p-q-r-s-t-z][i-u]_tu_,fut.pass.ind.3.sg,prf.pass.ptcp.nom.n.sg
780,scē_r ⇌ _m / [-spread]*[e-i-l-m-n-o-r-u-y-ē-ī-ō-ū][a-e-i]_tu_,fut.pass.ind.3.sg,prf.pass.ptcp.nom.n.sg
781,bēt_r ⇌ ps_m / [-spread -labdent]*la_u_,fut.pass.ind.3.sg,prf.pass.ptcp.nom.n.sg
782,q_ē_r ⇌ c__m / [-spread -labdent]*[l-r-s-z][e-o]_u_tu_,fut.pass.ind.3.sg,prf.pass.ptcp.nom.n.sg
783,iscē_r ⇌ _m / [-spread -lat -labdent]*[a-e-n-ā-ē][b-c-d-g-m-n-p-q-r-s-t-z]_tu_,fut.pass.ind.3.sg,prf.pass.ptcp.nom.n.sg
784,diēt_r ⇌ ss_m / [-spread -lat -labdent]*[-spread -lat -labdent -low]gre_u_,fut.pass.ind.3.sg,prf.pass.ptcp.nom.n.sg
785,hē_r ⇌ c_m / [c-d-e-g-i-r-s-t-z-ē-ī]*[e-i-o-r-s-u-y-z-ē-ī-ō-ū][e-m-n-ē]ue_tu_,fut.pass.ind.3.sg,prf.pass.ptcp.nom.n.sg
786,ēb_r ⇌ _m / [-spread -lat -labdent -low]*[b-d-e-o-p-s-t-z-ē-ō][b-d-e-g-i-o-r-u-y-z-ē-ī-ō-ū]_itu_,fut.pass.ind.3.sg,prf.pass.ptcp.nom.n.sg
787,iē_r ⇌ _um / [-spread -lat -labdent]*[e-m-n-r-ē]mor_tu_,fut.pass.ind.3.sg,prf.pass.ptcp.nom.n.sg
788,tiēt_r ⇌ ss_m / [-spread -lat -labdent]*[f-p][a-e]_u_,fut.pass.ind.3.sg,prf.pass.ptcp.nom.n.sg
789,itēbit_r ⇌ ess_m / [c-p-q]?[b-d-e-o-r-z-ē-ō][e-m-n-o-ē-ō]f_u_,fut.pass.ind.3.sg,prf.pass.ptcp.nom.n.sg
790,rē_r ⇌ s_m / [-spread -lat -labdent]*que_tu_,fut.pass.ind.3.sg,prf.pass.ptcp.nom.n.sg
791,ē_r ⇌ i_m / i?[-approx -spread -lat -low]*[d-r-s-t-z]u_tu_,fut.pass.ind.3.sg,prf.pass.ptcp.nom.n.sg
792,gē_r ⇌ c_m / [p-s-t]?[b-d-e-g-i-o-r-u-y-z-ē-ī-ō-ū][b-d-e-r-z-ē][f-r-s-z][i-u]n_tu_,fut.pass.ind.3.sg,prf.pass.ptcp.nom.n.sg
793,tābit_r ⇌ s_m / deplec_u_,fut.pass.ind.3.sg,prf.pass.ptcp.nom.n.sg
794,diēt_r ⇌ s_m / [e-r-ē][c-e-g-ē][d-s-t-z]or_u_,fut.pass.ind.3.sg,prf.pass.ptcp.nom.n.sg
795,ē_r ⇌ c_m / [b-d-e-p-r-s-t-z-ē]*fru_tu_,fut.pass.ind.3.sg,prf.pass.ptcp.nom.n.sg
796,adiēt_r ⇌ ess_m / [-spread -lat -labdent]*gr_u_,fut.pass.ind.3.sg,prf.pass.ptcp.nom.n.sg
797,ciscē_r ⇌ _m / inul_tu_,fut.pass.ind.3.sg,prf.pass.ptcp.nom.n.sg
798,tēt_r ⇌ ss_m / n?[i-u]_u_,fut.pass.ind.3.sg,prf.pass.ptcp.nom.n.sg
799,bī_r ⇌ _m / o_bitu_,fut.pass.ind.3.sg,prf.pass.ptcp.nom.n.sg
