flexeme_id,inflection_class,lila_id_lemma,hasInflectionType,gender
a0329_201,1,87175,v1r,
a0329_202,1,87175,v1r,
a0331_203,12,87177,v1d,
a0333_204,10,87179,v2r,
a0333_sc_205,11,87180,v3r,
a0333_sc_206,62,87180,v3r,
a0342_207,0,87190,v1r,
a0352_208,1,87200,v1r,
a0354_209,0,87202,v1r,
a0358_210,29,87208,v1r,
a0358_sc_211,63,87209,v3r,
a0400_212,0,87254,v1r,
a0406_213,59,87263,v3r,
a0406_214,59,87263,v3r,
a0406_215,64,87263,v3r,
a0406_216,64,87263,v3r,
a0407_217,65,87264,v3r,
a0407_218,65,87264,v3r,
a0407_219,64,87264,v3r,
a0407_220,64,87264,v3r,
a0445_221,1,87306,v1r,
a0463_222,1,87326,v1r,
a0464_223,39,87327,v3r,
a0471_224,63,87336,v3r,
a0471_225,66,87336,v3r,
a0483_226,1,87348,v1r,
a0485_227,1,87350,v1r,
a0486_228,0,87351,v1r,
a0487_229,1,87352,v1r,
a0491_230,3,87356,v3r,
a0492_231,1,87357,v1r,
a0498_232,0,87363,v1r,
a0500_233,1,87365,v1r,
a0501_234,1,87366,v1r,
a0502_235,67,87367,v4r,
a0505_236,1,87370,v1r,
a0506_237,1,87372,v1r,
a0508_238,11,87374,v3r,
a0509_239,1,87375,v1r,
a0511_240,37,87377,v4r,
a0512_241,68,87378,v2r,
a0513_242,3,87379,v3r,
a0516_243,19,87382,v3r,
a0516_244,19,87382,v3r,
a0517_245,3,87383,v3r,
a0518_246,69,87384,v4d,
a0519_247,0,87385,v1r,
a0519_248,0,87385,v1r,
a0521_249,0,87387,v2e,
a0522_250,0,87388,v1r,
a0525_251,0,87391,v2r,
a0526_252,0,87392,v1r,
a0527_253,4,87393,v3r,
a0530_254,70,87396,v3r,
a0535_255,5,87401,v3r,
a0536_256,10,87402,v2r,
a0537_257,37,87404,v4r,
a0537_sc_258,3,87403,v3r,
a0541_259,1,87409,v1r,
a0542_260,4,87410,v3r,
a0545_261,1,87413,v1r,
a0546_262,34,87414,v6r,
a0553_263,536,87421,v6r,
a0553_264,537,87421,v6r,
a0556_266,1,87424,v1r,
a0557_267,0,87425,v1r,
a0559_268,1,87427,v1r,
a0560_269,17,87428,v4r,
a0560_270,18,87428,v4r,
a0560_271,17,87428,v4r,
